CBSA,MSA,Black Population,White Population (Non Hispanic),Hispanic Population,Asian Population,Black-White Dissimilarity ,Hispanic-NonHispanic Dissimilarity ,Asian-White Dissimilarity ,Hispanic-NonHispanic White  Dissimilarity ,Hispanic White-NonHispanic Black,H-NH Black
10180,"Abilene, TX","13,111","110,168","38,892","2,704",0.420,0.344,,0.379,0.425,0.397
10420,"Akron, OH","84,329","567,106","13,318","19,170",0.580,0.367,0.525,0.393,,0.530
10500,"Albany, GA","79,630","62,452","3,883","1,580",0.538,,,,,
10540,"Albany-Lebanon, OR",465,"103,819","10,483","1,493",,0.297,,0.298,,
10580,"Albany-Schenectady-Troy, NY","64,242","709,495","42,999","37,424",0.609,0.351,0.467,0.413,0.446,0.344
10740,"Albuquerque, NM","20,345","361,857","438,681","18,018",0.424,0.338,0.413,0.353,0.402,0.398
10780,"Alexandria, LA","45,506","98,207","5,043","2,112",0.570,,,,,
10900,"Allentown-Bethlehem-Easton, PA-NJ","39,215","622,358","131,402","23,462",0.487,0.512,0.439,0.542,0.306,0.315
11100,"Amarillo, TX","15,077","159,073","72,974","8,283",0.603,0.387,,0.445,0.409,0.407
11260,"Anchorage, AK","16,682","257,342","31,081","28,694",0.487,0.215,0.461,0.285,0.383,0.365
11460,"Ann Arbor, MI","42,415","255,347","16,405","31,448",0.555,0.259,0.481,0.308,0.473,0.421
11500,"Anniston-Oxford, AL","23,553","84,006","4,121","1,149",0.467,,,,,
11700,"Asheville, NC","19,942","380,509","30,180","4,784",0.497,0.374,,0.380,0.503,0.519
12020,"Athens-Clarke County, GA","40,716","134,020","16,851","7,176",0.443,0.391,,0.441,0.361,0.366
12060,"Atlanta-Sandy Springs-Alpharetta, GA","1,887,083","2,747,838","600,033","318,462",0.588,0.418,0.516,0.490,0.548,0.519
12100,"Atlantic City-Hammonton, NJ","38,978","153,899","50,510","22,856",0.606,0.316,0.539,0.441,0.427,0.388
12220,"Auburn-Opelika, AL","35,923","105,864","5,813","5,873",0.356,,,,,
12260,"Augusta-Richmond County, GA-SC","207,247","325,307","30,654","11,304",0.454,0.322,0.467,0.354,0.523,0.433
12420,"Austin-Round Rock-Georgetown, TX","138,478","1,057,470","643,813","108,635",0.491,0.377,0.420,0.416,0.345,0.335
12540,"Bakersfield, CA","45,024","310,638","458,907","39,808",0.530,0.463,0.481,0.520,0.499,0.461
12580,"Baltimore-Columbia-Towson, MD","801,713","1,605,111","152,566","148,872",0.639,0.385,0.477,0.440,0.576,0.537
12940,"Baton Rouge, LA","299,232","487,345","32,169","17,192",0.543,0.383,0.585,0.399,0.556,0.526
12980,"Battle Creek, MI","14,191","105,142","6,709","2,837",0.598,,,,,
13140,"Beaumont-Port Arthur, TX","95,980","223,131","58,674","10,474",0.650,0.386,0.593,0.487,0.482,0.465
13380,"Bellingham, WA","1,987","169,696","19,198","8,589",,0.239,,0.240,,
13460,"Bend, OR",935,"153,774","13,684","1,996",,0.298,,0.301,,
13780,"Binghamton, NY","10,214","211,843","8,698","8,659",0.532,,,,,
13820,"Birmingham-Hoover, AL","322,447","673,553","47,839","15,021",0.643,0.444,0.523,0.469,0.660,0.594
14010,"Bloomington, IL","13,850","138,256","8,216","8,751",0.387,,,,,
14260,"Boise City, ID","6,293","546,626","90,422","12,939",,0.372,0.333,0.371,,
14460,"Boston-Cambridge-Newton, MA-NH","349,418","3,420,779","505,477","358,284",0.650,0.530,0.464,0.590,0.565,0.523
14500,"Boulder, CO","2,527","247,610","43,558","14,221",,0.392,0.329,0.390,,
14540,"Bowling Green, KY","12,055","141,891","7,218","4,205",0.477,,,,,
14740,"Bremerton-Silverdale-Port Orchard, WA","6,407","200,498","18,954","12,246",,0.231,0.298,0.253,,
14860,"Bridgeport-Stamford-Norwalk, CT","98,931","595,323","180,379","48,421",0.677,0.467,0.358,0.572,0.321,0.276
15180,"Brownsville-Harlingen, TX","1,560","39,240","375,256","2,706",,0.393,,0.417,,
15260,"Brunswick, GA","26,921","78,956","6,209","1,203",0.512,,,,,
15380,"Buffalo-Cheektowaga, NY","135,419","884,722","53,897","33,910",0.722,0.442,0.593,0.502,0.619,0.574
15500,"Burlington, NC","29,769","102,558","19,453","2,378",0.437,0.380,,0.460,,0.250
15680,"California-Lexington Park, MD","15,760","83,340","5,377","3,079",0.390,,,,,
15940,"Canton-Massillon, OH","26,756","351,629","7,553","3,151",0.536,,,,,
15980,"Cape Coral-Fort Myers, FL","57,549","479,250","141,544","10,707",0.610,0.401,0.436,0.449,0.379,0.363
16060,"Carbondale-Marion, IL","12,671","115,757","4,649","2,687",0.529,,,,,
16180,"Carson City, NV",853,"36,904","12,665","1,293",,0.247,,0.247,,
16300,"Cedar Rapids, IA","11,259","235,541","7,516","5,073",0.436,,,,,
16580,"Champaign-Urbana, IL","27,110","157,340","12,159","21,476",0.492,0.302,0.516,0.360,,0.405
16620,"Charleston, WV","13,291","245,504","2,393","2,095",0.621,,,,,
16700,"Charleston-North Charleston, SC","194,318","476,691","40,011","12,684",0.401,0.362,0.396,0.410,0.412,0.385
16740,"Charlotte-Concord-Gastonia, NC-SC","546,979","1,518,424","239,680","82,770",0.531,0.391,0.521,0.478,0.422,0.375
16820,"Charlottesville, VA","25,233","160,357","10,949","9,043",0.353,0.367,,0.395,,0.415
16860,"Chattanooga, TN-GA","73,579","430,036","23,308","8,641",0.635,0.437,,0.455,0.572,0.568
16940,"Cheyenne, WY","2,523","76,743","13,839","1,094",,0.263,,0.270,,
16980,"Chicago-Naperville-Elgin, IL-IN-WI","1,574,192","5,103,511","2,081,524","601,200",0.753,0.524,0.471,0.553,0.709,0.696
17020,"Chico, CA","3,282","164,184","35,445","9,852",,0.266,,0.281,,
17140,"Cincinnati, OH-KY-IN","261,382","1,748,665","65,252","50,879",0.675,0.404,0.535,0.433,0.636,0.594
17300,"Clarksville, TN-KY","51,992","196,922","24,726","5,206",0.392,0.345,,0.409,0.321,0.298
17460,"Cleveland-Elyria, OH","404,358","1,451,595","113,430","44,095",0.729,0.511,0.517,0.534,0.726,0.706
17780,"College Station-Bryan, TX","27,287","142,682","60,615","12,961",0.411,0.346,0.426,0.386,0.303,0.305
17820,"Colorado Springs, CO","39,294","493,039","112,798","18,513",0.390,0.270,0.318,0.302,0.256,0.228
17860,"Columbia, MO","16,505","163,498","6,190","7,476",0.375,,,,,
17900,"Columbia, SC","266,639","460,354","43,519","16,115",0.503,0.344,0.470,0.383,0.558,0.467
17980,"Columbus, GA-AL","131,027","150,866","22,204","5,915",0.551,0.353,,0.388,0.576,0.489
18140,"Columbus, OH","301,133","1,499,969","79,649","76,980",0.624,0.393,0.489,0.470,0.534,0.452
18580,"Corpus Christi, TX","13,907","135,054","263,815","7,492",0.487,0.369,,0.391,0.405,0.401
18880,"Crestview-Fort Walton Beach-Destin, FL","21,850","200,734","20,923","6,393",0.374,0.252,,0.269,,0.347
19100,"Dallas-Fort Worth-Arlington, TX","1,072,799","3,329,886","2,010,215","444,648",0.566,0.422,0.492,0.501,0.445,0.432
19140,"Dalton, GA","4,394","94,724","41,174","1,568",,0.441,,0.459,,
19180,"Danville, IL","10,995","62,383","3,836",691,0.675,,,,,
19300,"Daphne-Fairhope-Foley, AL","19,238","168,951","9,029","1,395",0.424,,,,,
19340,"Davenport-Moline-Rock Island, IA-IL","28,526","304,727","32,468","8,174",0.510,0.343,,0.370,0.433,0.423
19430,"Dayton-Kettering, OH","122,361","615,120","20,526","16,919",0.643,0.362,0.469,0.379,0.685,0.610
19460,"Decatur, AL","18,493","116,498","10,186",797,0.570,0.504,,0.552,,0.360
19500,"Decatur, IL","14,906","82,514","2,327","1,223",0.528,,,,,
19660,"Deltona-Daytona Beach-Ormond Beach, FL","63,643","456,651","77,239","11,829",0.470,0.378,0.428,0.393,0.478,0.469
19740,"Denver-Aurora-Lakewood, CO","150,520","1,808,477","640,988","111,550",0.624,0.444,0.395,0.482,0.571,0.520
19780,"Des Moines-West Des Moines, IA","31,155","542,635","45,425","24,197",0.550,0.445,0.481,0.480,0.387,0.341
19820,"Detroit-Warren-Dearborn, MI","955,584","2,878,311","183,958","174,399",0.737,0.466,0.559,0.476,0.747,0.721
20020,"Dothan, AL","34,778","104,038","4,805",980,0.453,,,,,
20100,"Dover, DE","41,729","108,627","11,820","3,459",0.288,0.189,,0.239,,0.184
20500,"Durham-Chapel Hill, NC","163,494","334,005","66,956","26,255",0.465,0.360,0.476,0.467,0.364,0.318
20700,"East Stroudsburg, PA","21,807","113,048","24,980","3,704",0.329,0.241,,0.279,0.235,0.196
20940,"El Centro, CA","4,109","20,372","150,108","2,263",,0.381,,0.395,,
21060,"Elizabethtown-Fort Knox, KY","13,599","120,531","7,559","2,416",0.466,,,,,
21140,"Elkhart-Goshen, IN","11,044","152,901","31,179","2,091",0.567,0.371,,0.407,0.451,0.438
21340,"El Paso, TX","25,388","104,564","689,074","8,845",0.366,0.391,,0.407,0.492,0.497
21500,"Erie, PA","18,859","235,528","11,152","4,462",0.619,0.404,,0.449,,0.325
21660,"Eugene-Springfield, OR","3,696","300,329","30,653","9,171",,0.287,,0.293,,
21780,"Evansville, IN-KY","21,191","274,955","7,087","4,043",0.514,,,,,
22140,"Farmington, NM",653,"50,290","25,468",748,,0.352,,0.287,,
22180,"Fayetteville, NC","161,610","249,795","59,872","10,058",0.321,0.179,0.377,0.218,0.263,0.251
22220,"Fayetteville-Springdale-Rogers, AR","11,658","362,108","78,656","14,651",0.461,0.457,0.430,0.468,0.578,0.540
22380,"Flagstaff, AZ","1,729","75,269","19,265","2,493",,0.316,,0.243,,
22420,"Flint, MI","81,431","297,950","13,585","4,254",0.666,0.317,,0.334,,0.587
22500,"Florence, SC","85,917","109,994","4,739","2,071",0.352,,,,,
22520,"Florence-Muscle Shoals, AL","17,779","121,482","3,598",872,0.365,,,,,
22660,"Fort Collins, CO","2,868","275,297","36,993","6,652",,0.224,,0.228,,
22900,"Fort Smith, AR-OK","10,311","185,273","24,165","6,963",0.561,0.514,,0.538,0.276,0.265
23060,"Fort Wayne, IN","41,552","306,402","27,184","13,038",0.599,0.401,0.540,0.473,0.346,0.324
23420,"Fresno, CA","45,217","293,677","509,442","96,128",0.553,0.383,0.402,0.464,0.473,0.445
23460,"Gadsden, AL","15,847","80,750","3,794",706,0.638,,,,,
23540,"Gainesville, FL","55,978","207,993","28,184","15,461",0.423,0.211,0.457,0.228,0.436,0.408
23580,"Gainesville, GA","14,050","118,722","53,644","3,304",0.442,0.483,,0.530,0.400,0.387
24140,"Goldsboro, NC","37,503","67,352","14,009","1,476",0.390,0.370,,0.404,,0.421
24260,"Grand Island, NE","1,387","55,028","16,867",729,,0.467,,0.486,,
24300,"Grand Junction, CO","1,010","121,655","21,177","1,057",,0.224,,0.231,,
24340,"Grand Rapids-Kentwood, MI","67,106","824,500","97,003","26,136",0.640,0.475,0.473,0.510,0.543,0.546
24540,"Greeley, CO","2,956","189,741","82,920","3,754",,0.355,,0.365,,
24580,"Green Bay, WI","5,800","265,514","22,671","8,132",,0.461,,0.483,,
24660,"Greensboro-High Point, NC","197,558","446,335","61,238","26,740",0.533,0.340,0.548,0.429,0.420,0.427
24780,"Greenville, NC","60,582","97,236","10,671","3,040",0.345,0.264,,0.284,,0.361
24860,"Greenville-Anderson, SC","143,771","638,713","57,417","14,838",0.424,0.365,0.524,0.401,0.471,0.406
25060,"Gulfport-Biloxi, MS","86,154","279,067","21,145","9,127",0.430,0.348,,0.388,0.403,0.376
25180,"Hagerstown-Martinsburg, MD-WV","23,084","231,342","11,434","3,870",0.412,0.261,,0.302,,0.290
25220,"Hammond, LA","37,900","81,854","5,274",961,0.361,,,,,
25260,"Hanford-Corcoran, CA","8,916","49,728","80,715","5,463",,0.334,,0.368,,
25420,"Harrisburg-Carlisle, PA","57,312","440,844","32,822","20,534",0.640,0.409,0.483,0.479,0.399,0.330
25500,"Harrisonburg, VA","4,913","106,138","15,021","2,707",,0.412,,0.433,,
25540,"Hartford-East Hartford-Middletown, CT","127,182","829,039","172,449","56,648",0.657,0.504,0.407,0.569,0.467,0.424
25620,"Hattiesburg, MS","49,191","109,427","4,483","1,555",0.489,,,,,
25860,"Hickory-Lenoir-Morganton, NC","23,764","296,323","25,661","10,515",0.418,0.417,0.492,0.444,,0.400
25940,"Hilton Head Island-Bluffton, SC","44,448","132,245","23,824","2,353",0.526,0.427,,0.444,0.526,0.532
25980,"Hinesville, GA","29,132","35,460","9,766","1,442",0.271,,,,,
26380,"Houma-Thibodaux, LA","34,536","151,302","9,979","1,785",0.423,,,,,
26420,"Houston-The Woodlands-Sugar Land, TX","1,116,928","2,469,095","2,432,651","492,193",0.603,0.405,0.508,0.517,0.447,0.430
26620,"Huntsville, AL","96,664","300,880","22,057","10,100",0.476,0.356,0.413,0.405,0.414,0.397
26820,"Idaho Falls, ID",634,"118,649","16,911",997,,0.256,,0.260,,
26900,"Indianapolis-Carmel-Anderson, IN","293,922","1,458,005","129,654","57,009",0.644,0.424,0.504,0.496,0.460,0.415
27060,"Ithaca, NY","3,725","80,749","5,025","10,742",,,0.536,,,
27100,"Jackson, MI","13,066","135,108","5,404","1,178",0.595,,,,,
27140,"Jackson, MS","298,496","272,725","13,121","6,566",0.562,0.461,,0.501,,0.528
27180,"Jackson, TN","48,604","118,691","6,722","1,310",0.434,,,,,
27260,"Jacksonville, FL","306,301","924,669","118,640","54,696",0.537,0.260,0.424,0.296,0.497,0.451
27340,"Jacksonville, NC","26,342","128,724","23,474","3,978",0.333,0.188,,0.235,0.351,0.268
27500,"Janesville-Beloit, WI","7,017","134,345","13,573","1,899",,0.397,,0.427,,
27620,"Jefferson City, MO","11,456","130,468","3,847","1,427",0.464,,,,,
27860,"Jonesboro, AR","15,261","101,686","5,779","1,207",0.449,,,,,
27900,"Joplin, MO","2,977","150,752","12,108","2,094",,0.427,,0.429,,
27980,"Kahului-Wailuku-Lahaina, HI",819,"50,064","18,130","46,732",,0.189,0.511,0.312,,
28020,"Kalamazoo-Portage, MI","27,499","202,780","12,227","6,193",0.497,0.306,,0.336,,0.397
28100,"Kankakee, IL","16,681","79,961","11,142","1,081",0.576,0.290,,0.370,,0.323
28140,"Kansas City, MO-KS","256,523","1,525,181","184,178","56,371",0.595,0.401,0.478,0.451,0.546,0.504
